"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"[Ruminococcus] gnavus-33038"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.1259359986999	-0.040176813164314	0.193357317349576	0.000347093062810926	0.0228518313904491	0.000347093062810926	0.0170811668979114	NA	"abundance"	24	24
"Phocaeicola vulgatus-821"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.09247662467159	-0.040176813164314	0.193818657143402	0.000461653159403012	0.0228518313904491	0.000461653159403012	0.0170811668979114	NA	"abundance"	24	24
"Anaerostipes caccae-105841"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.51179087730717	-0.040176813164314	0.360796034113692	0.00120354303376788	0.0360812587980191	0.00120354303376788	0.0269698298086204	NA	"abundance"	24	24
"Lacrimispora saccharolytica-84030"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.11574951907511	-0.040176813164314	0.275001200639335	0.0014578286383038	0.0360812587980191	0.0014578286383038	0.0269698298086204	NA	"abundance"	24	24
"Blautia luti-89014"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.41908278190453	0.1373464477486	0.336033824785292	0.00200574253020173	0.0397137020979943	0.00200574253020173	0.0296849894469857	NA	"abundance"	24	24
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.707226526068192	-0.040176813164314	0.15429622817492	0.00296138495040931	0.041882444298646	0.00296138495040931	0.0313060694757556	NA	"abundance"	24	24
"Lacrimispora saccharolytica-84030"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.47817996152563	0.1373464477486	0.368952827114167	0.0026560324774438	0.041882444298646	0.0026560324774438	0.0313060694757556	NA	"abundance"	24	24
"Flintibacter sp. KGMB00164-2610895"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.07054849389322	-0.040176813164314	0.302476409852062	0.00664499755089689	0.082231844692349	0.0132458391093423	0.10347602397971	NA	"abundance"	24	23
"Faecalicoccus pleomorphus-1323"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.50547670623556	0.1373464477486	0.4579863694848	0.00923002355684534	0.101530259125299	0.00923002355684534	0.0853777179008194	NA	"abundance"	24	24
"Phocaeicola vulgatus-821"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.663745241396143	0.1373464477486	0.260035015608224	0.0139832464837447	0.138434140189072	0.0139832464837447	0.10347602397971	NA	"abundance"	24	24
"Blautia luti-89014"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.678245769094406	-0.040176813164314	0.250464824986389	0.0230994613336535	0.175911282463977	0.0230994613336535	0.142446678224197	NA	"abundance"	24	24
